name,handedness,height,weight,avg,HR
Dick Green,Right Handed,70,180,0.24,80
Domingo Ramos,Right Handed,70,154,0.24,8
Bill Schroeder,Right Handed,74,200,0.24,61
Pepe Frias,Right Handed,70,159,0.24,1
Joe Ferguson,Right Handed,74,200,0.24,122
Rod Kanehl,Right Handed,73,180,0.241,6
Dave Skaggs,Right Handed,74,200,0.241,3
Mike Tyson,Right Handed,69,170,0.241,27
Mickey Klutts,Right Handed,71,170,0.241,14
Tom Veryzer,Right Handed,73,175,0.241,14
Bill Nahorodny,Right Handed,74,200,0.241,25
Joe Gaines,Right Handed,73,190,0.241,21
Hank Allen,Right Handed,72,190,0.241,6
Gene Tenace,Right Handed,72,190,0.241,201
Willie Norwood,Right Handed,72,185,0.242,18
Don Wert,Right Handed,70,162,0.242,77
Bob Robertson,Right Handed,73,195,0.242,115
Glenn Hoffman,Right Handed,73,175,0.242,23
Bruce Benedict,Right Handed,73,175,0.242,18
Bob Brower,Right Handed,71,185,0.242,17
Ron Swoboda,Right Handed,74,195,0.242,73
Freddie Patek,Right Handed,65,148,0.242,41
Pepe Mangual,Right Handed,70,157,0.242,16
Darryl Motley,Right Handed,69,196,0.243,44
Ozzie Virgil,Right Handed,73,180,0.243,98
Nate Colbert,Right Handed,74,190,0.243,173
Gary Woods,Right Handed,74,185,0.243,13
Steve Dillard,Right Handed,73,180,0.243,13
Mark Wagner,Right Handed,72,165,0.243,3
Rey Quinones,Right Handed,71,160,0.243,29
Hal Breeden,Right Handed,74,200,0.243,21
Rick Joseph,Right Handed,73,192,0.243,13
Gary Sutherland,Right Handed,72,185,0.243,24
Pedro Gonzalez,Right Handed,72,176,0.244,8
Johnny Jeter,Right Handed,73,180,0.244,18
Glenn Hubbard,Right Handed,69,150,0.244,70
Leroy Stanton,Right Handed,73,195,0.244,77
Jim Essian,Right Handed,74,195,0.244,33
Deron Johnson,Right Handed,74,200,0.244,245
Paul Schaal,Right Handed,71,165,0.244,57
Dave Nelson,Right Handed,70,160,0.244,20
Floyd Rayford,Right Handed,70,190,0.244,38
Angel Mangual,Right Handed,70,178,0.245,22
Roger Freed,Right Handed,72,190,0.245,22
Ted Cox,Right Handed,75,195,0.245,10
Roberto Pena,Right Handed,68,170,0.245,13
Jody Davis,Right Handed,76,192,0.245,127
Doug Griffin,Right Handed,72,160,0.245,7
Ellie Rodriguez,Right Handed,71,185,0.245,16
Tom Brookens,Right Handed,70,165,0.246,71
Charlie Spikes,Right Handed,75,215,0.246,65
Rafael Santana,Right Handed,73,165,0.246,13
Bruce Miller,Right Handed,73,185,0.246,1
Mike Anderson,Right Handed,74,200,0.246,28
Chris Speier,Right Handed,73,175,0.246,112
Marty Perez,Right Handed,71,160,0.246,22
Bucky Dent,Right Handed,69,170,0.247,40
Gary Roenicke,Right Handed,75,205,0.247,121
Lou Clinton,Right Handed,73,185,0.247,65
Adolfo Phillips,Right Handed,73,175,0.247,59
Mike Diaz,Right Handed,74,195,0.247,31
Brant Alyea,Right Handed,75,215,0.247,38
Earl Williams,Right Handed,75,215,0.247,138
Bob Heise,Right Handed,72,175,0.247,1
Max Alvis,Right Handed,71,185,0.247,111
Bob Brenly,Right Handed,74,210,0.247,91
Ken Hubbs,Right Handed,74,175,0.247,14
Ed Romero,Right Handed,71,160,0.247,8
Ken McMullen,Right Handed,75,190,0.248,156
Dick Howser,Right Handed,68,155,0.248,16
Joe Foy,Right Handed,72,215,0.248,58
Danny Thompson,Right Handed,72,183,0.248,15
Jim Sundberg,Right Handed,72,190,0.248,95
Ron Theobald,Right Handed,68,165,0.248,2
Carl Warwick,Right Handed,70,170,0.248,31
Butch Hobson,Right Handed,73,193,0.248,98
Mickey Stanley,Right Handed,73,185,0.248,117
Junior Kennedy,Right Handed,71,175,0.248,4
Rod Gilbreath,Right Handed,74,180,0.248,14
Steve Nicosia,Right Handed,70,185,0.248,11
Luis Melendez,Right Handed,72,165,0.248,9
Chico Salmon,Right Handed,70,160,0.249,31
Alex Trevino,Right Handed,70,165,0.249,23
John Orsino,Right Handed,75,215,0.249,40
Jerry Royster,Right Handed,72,165,0.249,40
Tito Landrum,Right Handed,71,175,0.249,13
Tom Grieve,Right Handed,74,190,0.249,65
Dick Bertell,Right Handed,72,200,0.25,10
Rick Bosetti,Right Handed,71,185,0.25,17
Marv Breeding,Right Handed,72,175,0.25,7
Paul Blair,Right Handed,72,168,0.25,134
Jim Pankovits,Right Handed,70,170,0.25,9
Nick Esasky,Right Handed,75,200,0.25,122
Fran Healy,Right Handed,77,220,0.25,20
Joe Strain,Right Handed,70,169,0.25,1
Mike Edwards,Right Handed,70,154,0.25,2
Greg Pryor,Right Handed,72,180,0.25,14
Jake Wood,Right Handed,73,163,0.25,35
Jimmy Wynn,Right Handed,70,160,0.25,291
Denis Menke,Right Handed,72,185,0.25,101
Otto Velez,Right Handed,72,170,0.251,78
Rico Petrocelli,Right Handed,72,175,0.251,210
Benny Ayala,Right Handed,73,185,0.251,38
Mike de la Hoz,Right Handed,71,175,0.251,25
Barry Evans,Right Handed,73,180,0.251,2
Lenny Faedo,Right Handed,72,170,0.251,5
Tim Foli,Right Handed,72,179,0.251,25
Jack Hiatt,Right Handed,74,190,0.251,22
Jerry Martin,Right Handed,73,195,0.251,85
Andre Robertson,Right Handed,70,155,0.251,5
Bobby Darwin,Right Handed,74,190,0.251,83
Doug Rader,Right Handed,74,208,0.251,155
Rob Andrews,Right Handed,72,185,0.251,3
Jerry Moses,Right Handed,75,210,0.251,25
Jim Hickman,Right Handed,75,192,0.252,159
Joe Azcue,Right Handed,72,190,0.252,50
Mike Hershberger,Right Handed,70,175,0.252,26
Dave Chalk,Right Handed,70,175,0.252,15
Lynn Jones,Right Handed,69,175,0.252,7
Tony Armas,Right Handed,71,182,0.252,251
Jerry Grote,Right Handed,70,185,0.252,39
Larvell Blanks,Right Handed,68,167,0.253,20
Bill Melton,Right Handed,74,200,0.253,160
Terry Harper,Right Handed,76,195,0.253,36
Roy Foster,Right Handed,72,185,0.253,45
Jerry Terrell,Right Handed,71,165,0.253,4
Ivan DeJesus,Right Handed,71,175,0.254,21
Sal Bando,Right Handed,72,195,0.254,242
Gene Alley,Right Handed,70,160,0.254,55
Felix Torres,Right Handed,71,165,0.254,27
Bob Boone,Right Handed,74,195,0.254,105
Andre Thornton,Right Handed,75,200,0.254,253
Bill Almon,Right Handed,75,180,0.254,36
Bo Diaz,Right Handed,71,185,0.255,87
Frank White,Right Handed,71,165,0.255,160
Ken Berry,Right Handed,72,175,0.255,58
Frank Taveras,Right Handed,72,155,0.255,2
Bob Dernier,Right Handed,72,160,0.255,23
Charlie James,Right Handed,73,195,0.255,29
Tommie Agee,Right Handed,71,195,0.255,130
Mike Shannon,Right Handed,75,195,0.255,68
Juan Bonilla,Right Handed,69,170,0.256,7
Cito Gaston,Right Handed,75,190,0.256,91
Billy Conigliaro,Right Handed,72,180,0.256,40
Ike Brown,Right Handed,72,190,0.256,20
Ray Fosse,Right Handed,74,215,0.256,61
Bob Oliver,Right Handed,75,205,0.256,94
Julian Javier,Right Handed,73,175,0.257,78
Bob Randall,Right Handed,74,175,0.257,1
Mario Guerrero,Right Handed,70,155,0.257,7
Bob Bailey,Right Handed,73,180,0.257,189
Tommy Harper,Right Handed,69,165,0.257,146
Leo Cardenas,Right Handed,71,150,0.257,118
Rich Dauer,Right Handed,72,180,0.257,43
Bill Robinson,Right Handed,74,189,0.258,166
Duane Josephson,Right Handed,72,190,0.258,23
Bob Montgomery,Right Handed,73,195,0.258,23
Steve Brye,Right Handed,72,190,0.258,30
Mike Andrews,Right Handed,75,195,0.258,66
Cliff Johnson,Right Handed,76,215,0.258,196
Lou Johnson,Right Handed,71,170,0.258,48
Garth Iorg,Right Handed,71,170,0.258,20
Ron Jackson,Right Handed,72,200,0.259,56
Mickey Brantley,Right Handed,70,180,0.259,32
Doug DeCinces,Right Handed,74,190,0.259,237
Jerry Morales,Right Handed,70,155,0.259,95
Bert Campaneris,Right Handed,70,160,0.259,79
Al Ferrara,Right Handed,73,200,0.259,51
Mark Brouhard,Right Handed,73,210,0.259,25
John Stearns,Right Handed,72,185,0.26,46
Jim Morrison,Right Handed,71,175,0.26,112
Don Baylor,Right Handed,73,190,0.26,338
Ken Reitz,Right Handed,72,180,0.26,68
Art Howe,Right Handed,74,190,0.26,43
Jim Wohlford,Right Handed,71,175,0.26,21
Julio Gotay,Right Handed,72,180,0.26,6
Bobby Valentine,Right Handed,70,189,0.26,12
Phil Garner,Right Handed,70,175,0.26,109
Elliott Maddox,Right Handed,71,180,0.261,18
Jeff Burroughs,Right Handed,73,200,0.261,240
Dick Dietz,Right Handed,73,195,0.261,66
Ron Washington,Right Handed,71,155,0.261,20
Charlie Moore,Right Handed,71,180,0.261,36
Rick Reichardt,Right Handed,75,210,0.261,116
Davey Johnson,Right Handed,73,170,0.261,136
Don Money,Right Handed,73,170,0.261,176
Ron Cey,Right Handed,70,185,0.261,316
John Wockenfuss,Right Handed,72,190,0.262,86
Dave Engle,Right Handed,75,210,0.262,31
Ted Sizemore,Right Handed,70,165,0.262,23
John Wathan,Right Handed,74,205,0.262,21
John Ellis,Right Handed,74,225,0.262,69
Bill Freehan,Right Handed,75,203,0.262,200
Cookie Rojas,Right Handed,70,160,0.263,54
Larry Parrish,Right Handed,75,190,0.263,256
Al Gallagher,Right Handed,72,180,0.263,11
Davey Lopes,Right Handed,69,170,0.263,155
Manny Trillo,Right Handed,73,150,0.263,61
Bill Russell,Right Handed,72,175,0.263,46
Ed Charles,Right Handed,70,170,0.263,86
Eric Soderholm,Right Handed,71,187,0.264,102
Junior Moore,Right Handed,71,185,0.264,7
Chuck Hinton,Right Handed,73,180,0.264,113
Toby Harrah,Right Handed,72,175,0.264,195
Bob Bailor,Right Handed,71,170,0.264,9
Joe Rudi,Right Handed,74,200,0.264,179
Tony Conigliaro,Right Handed,75,185,0.264,166
Bombo Rivera,Right Handed,70,187,0.265,10
Dick Davis,Right Handed,75,190,0.265,27
Mike Brown,Right Handed,74,195,0.265,23
Joel Youngblood,Right Handed,72,180,0.265,80
Ollie Brown,Right Handed,74,178,0.265,102
Jim Fregosi,Right Handed,73,190,0.265,151
Jeffrey Leonard,Right Handed,74,200,0.266,144
Bobby Grich,Right Handed,74,180,0.266,224
Carl Taylor,Right Handed,74,200,0.266,10
Reid Nichols,Right Handed,71,165,0.266,22
Joe Charboneau,Right Handed,74,205,0.266,29
Dave Concepcion,Right Handed,74,155,0.267,101
Barbaro Garbey,Right Handed,70,170,0.267,11
Bill Stein,Right Handed,70,170,0.267,44
Johnny Bench,Right Handed,73,197,0.267,389
Lee May,Right Handed,75,195,0.267,354
Leon Roberts,Right Handed,75,200,0.267,78
Mike Schmidt,Right Handed,74,195,0.267,548
Bubba Morton,Right Handed,70,175,0.267,14
George Scott,Right Handed,74,200,0.268,271
Tony Horton,Right Handed,75,210,0.268,76
David Green,Right Handed,75,170,0.268,31
Bobby Bonds,Right Handed,73,190,0.268,332
Rich Rollins,Right Handed,70,185,0.269,77
Chris Brown,Right Handed,72,185,0.269,38
Ron Pruitt,Right Handed,72,185,0.269,12
Mike Ivie,Right Handed,75,205,0.269,81
Tommy Helms,Right Handed,70,165,0.269,34
Walt Williams,Right Handed,66,165,0.27,33
Dan Ford,Right Handed,73,185,0.27,121
Al Cowens,Right Handed,73,197,0.27,108
Rufino Linares,Right Handed,72,170,0.27,11
Paul Dade,Right Handed,73,185,0.27,10
Alan Bannister,Right Handed,71,170,0.27,19
Merv Rettenmund,Right Handed,70,190,0.271,66
Ray Knight,Right Handed,73,185,0.271,84
Dave Stapleton,Right Handed,73,178,0.271,41
Sixto Lezcano,Right Handed,70,165,0.271,148
Bob Johnson,Right Handed,70,175,0.272,44
Barry Bonnell,Right Handed,75,190,0.272,56
Bill Sample,Right Handed,69,175,0.272,46
Larry Hisle,Right Handed,74,193,0.273,166
Ron Hunt,Right Handed,72,186,0.273,39
Chet Lemon,Right Handed,72,190,0.273,215
Rick Burleson,Right Handed,70,165,0.273,50
Willie Horton,Right Handed,71,209,0.273,325
George Foster,Right Handed,73,180,0.274,348
Juan Beniquez,Right Handed,71,150,0.274,79
Rennie Stennett,Right Handed,71,160,0.274,41
Donn Clendenon,Right Handed,76,209,0.274,159
Larry Herndon,Right Handed,75,190,0.274,107
Jose Cardenal,Right Handed,70,150,0.275,138
Greg Luzinski,Right Handed,73,220,0.276,307
Gary Ward,Right Handed,74,195,0.276,130
Danny Cater,Right Handed,72,170,0.276,66
Gene Clines,Right Handed,69,170,0.277,5
Ron Santo,Right Handed,72,190,0.277,342
Amos Otis,Right Handed,71,165,0.277,193
Enos Cabell,Right Handed,76,170,0.277,60
Bob Horner,Right Handed,73,195,0.277,218
Cesar Tovar,Right Handed,69,155,0.278,46
Jim Ray Hart,Right Handed,71,185,0.278,170
George Hendrick,Right Handed,75,195,0.278,267
Dusty Baker,Right Handed,74,183,0.278,242
John Castino,Right Handed,71,175,0.278,41
Ellis Valentine,Right Handed,76,205,0.278,123
Tony Perez,Right Handed,74,175,0.279,379
Mike Vail,Right Handed,73,180,0.279,34
Felix Millan,Right Handed,71,172,0.279,22
Buddy Bell,Right Handed,73,180,0.279,201
Keith Moreland,Right Handed,72,190,0.279,121
Jesus Alou,Right Handed,74,190,0.28,32
Steve Henderson,Right Handed,74,190,0.28,68
Mickey Hatcher,Right Handed,74,200,0.28,38
Gary Matthews,Right Handed,74,185,0.281,234
Cleon Jones,Right Handed,72,185,0.281,93
Tom Paciorek,Right Handed,76,215,0.282,86
Wayne Nordhagen,Right Handed,74,205,0.282,39
Dave Cash,Right Handed,71,170,0.283,21
Damaso Garcia,Right Handed,73,165,0.283,36
Glenn Beckert,Right Handed,73,190,0.283,22
Garry Maddox,Right Handed,75,175,0.285,117
Cesar Cedeno,Right Handed,74,175,0.285,199
Lee Lacy,Right Handed,73,175,0.286,91
Phil Bradley,Right Handed,72,185,0.286,78
Richie Zisk,Right Handed,73,200,0.287,207
Lamar Johnson,Right Handed,74,215,0.287,64
Jose Morales,Right Handed,71,187,0.287,26
Alex Johnson,Right Handed,72,205,0.288,78
Ron LeFlore,Right Handed,72,200,0.288,59
Hal McRae,Right Handed,71,180,0.29,191
Lou Piniella,Right Handed,72,182,0.291,102
Thurman Munson,Right Handed,71,190,0.292,113
Dick Allen,Right Handed,71,187,0.292,351
Steve Garvey,Right Handed,70,192,0.294,272
Bob Watson,Right Handed,72,201,0.295,184
Manny Sanguillen,Right Handed,72,193,0.296,65
Joe Torre,Right Handed,74,212,0.297,252
Jim Rice,Right Handed,74,200,0.298,382
Rico Carty,Right Handed,75,200,0.299,204
Manny Mota,Right Handed,70,160,0.304,31
Bill Madlock,Right Handed,71,180,0.305,163
